X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-3.000	  0.000	  0.200	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.411	 
-3.000	  0.000	  0.196	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.582	 
-3.000	  0.000	  0.191	  0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.602	 
-3.000	  0.000	  0.187	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.635	 
-3.000	  0.000	  0.186	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.693	 
-3.000	  0.000	  0.186	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.008	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.704	 
-3.000	  0.000	  0.188	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.013	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.737	 
-3.000	  0.000	  0.190	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.771	 
-3.000	  0.000	  0.192	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.027	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.804	 
-3.000	  0.000	  0.195	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.037	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.837	 
-3.000	  0.000	  0.198	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.048	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.871	 
-2.999	  0.000	  0.201	  0.000	  0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.059	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.904	 
-2.999	  0.000	  0.203	  0.000	  0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.072	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.937	 
-2.998	  0.000	  0.206	  0.000	  0.012	  0.000	  0.000	  0.000	  0.000	  0.000	  0.084	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.971	 
-2.998	  0.000	  0.208	  0.000	  0.016	  0.000	  0.000	  0.000	  0.000	  0.000	  0.095	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.004	 
-2.997	  0.000	  0.211	  0.000	  0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.106	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.038	 
-2.995	  0.000	  0.213	  0.000	  0.023	  0.000	  0.000	  0.000	  0.000	  0.000	  0.115	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.071	 
-2.994	  0.000	  0.215	  0.000	  0.027	  0.000	  0.000	  0.000	  0.000	  0.000	  0.123	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.104	 
-2.992	  0.000	  0.217	  0.000	  0.031	  0.000	  0.000	  0.000	  0.000	  0.000	  0.128	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.138	 
-2.989	  0.000	  0.218	  0.000	  0.036	  0.000	  0.000	  0.000	  0.000	  0.000	  0.131	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.171	 
-2.987	  0.000	  0.220	  0.000	  0.040	  0.000	  0.000	  0.000	  0.000	  0.000	  0.132	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.204	 
-2.983	  0.000	  0.222	  0.000	  0.044	  0.000	  0.000	  0.000	  0.000	  0.000	  0.130	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.238	 
-2.979	  0.000	  0.223	  0.000	  0.049	  0.000	  0.000	  0.000	  0.000	  0.000	  0.125	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.271	 
-2.975	  0.000	  0.224	  0.000	  0.052	  0.000	  0.000	  0.000	  0.000	  0.000	  0.118	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.304	 
-2.970	  0.000	  0.225	  0.000	  0.056	  0.000	  0.000	  0.000	  0.000	  0.000	  0.109	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.338	 
-2.964	  0.000	  0.226	  0.000	  0.059	  0.000	  0.000	  0.000	  0.000	  0.000	  0.097	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.371	 
-2.957	  0.000	  0.227	  0.000	  0.062	  0.000	  0.000	  0.000	  0.000	  0.000	  0.083	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.404	 
-2.950	  0.000	  0.228	  0.000	  0.064	  0.000	  0.000	  0.000	  0.000	  0.000	  0.068	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.438	 
-2.942	  0.000	  0.229	  0.000	  0.066	  0.000	  0.000	  0.000	  0.000	  0.000	  0.051	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.471	 
-2.933	  0.000	  0.229	  0.000	  0.067	  0.000	  0.000	  0.000	  0.000	  0.000	  0.034	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.504	 
-2.924	  0.000	  0.230	  0.000	  0.068	  0.000	  0.000	  0.000	  0.000	  0.000	  0.015	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.538	 
-2.913	  0.000	  0.230	  0.000	  0.068	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.571	 
-2.902	  0.000	  0.231	  0.000	  0.067	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.022	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.604	 
-2.891	  0.000	  0.231	  0.000	  0.066	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.041	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.637	 
-2.878	  0.000	  0.231	  0.000	  0.064	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.058	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.671	 
