X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-3.000	  0.000	  0.200	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.575	 
-3.000	  0.000	  0.196	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.333	 
-3.000	 -0.000	  0.191	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.365	 
-3.000	  0.000	  0.187	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.394	 
-3.000	  0.000	  0.186	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.446	 
-3.000	  0.000	  0.186	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.008	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.463	 
-3.000	  0.000	  0.188	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.013	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.496	 
-3.000	  0.000	  0.190	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.528	 
-3.000	  0.000	  0.192	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.027	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.562	 
-3.000	  0.000	  0.195	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.037	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.594	 
-3.000	  0.000	  0.198	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.048	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.629	 
-2.999	  0.000	  0.201	  0.000	  0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.059	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.662	 
-2.999	  0.000	  0.203	  0.000	  0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.072	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.695	 
-2.998	  0.000	  0.206	  0.000	  0.012	  0.000	  0.000	  0.000	  0.000	  0.000	  0.084	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.728	 
-2.998	  0.000	  0.208	  0.000	  0.016	  0.000	  0.000	  0.000	  0.000	  0.000	  0.095	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.762	 
-2.997	  0.000	  0.211	  0.000	  0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.106	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.794	 
-2.995	  0.000	  0.213	  0.000	  0.023	  0.000	  0.000	  0.000	  0.000	  0.000	  0.115	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.828	 
-2.994	  0.000	  0.215	  0.000	  0.027	  0.000	  0.000	  0.000	  0.000	  0.000	  0.123	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.861	 
-2.992	  0.000	  0.217	  0.000	  0.031	  0.000	  0.000	  0.000	  0.000	  0.000	  0.128	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.894	 
-2.989	  0.000	  0.218	  0.000	  0.036	  0.000	  0.000	  0.000	  0.000	  0.000	  0.131	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.928	 
-2.987	  0.000	  0.220	  0.000	  0.040	  0.000	  0.000	  0.000	  0.000	  0.000	  0.132	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.963	 
-2.983	  0.000	  0.222	  0.000	  0.044	  0.000	  0.000	  0.000	  0.000	  0.000	  0.130	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.994	 
-2.979	  0.000	  0.223	  0.000	  0.049	  0.000	  0.000	  0.000	  0.000	  0.000	  0.125	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.028	 
-2.975	  0.000	  0.224	  0.000	  0.052	  0.000	  0.000	  0.000	  0.000	  0.000	  0.118	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.061	 
-2.970	  0.000	  0.225	  0.000	  0.056	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.109	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.094	 
-2.964	  0.000	  0.226	  0.000	  0.059	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.097	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.128	 
-2.957	  0.000	  0.227	  0.000	  0.062	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.083	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.161	 
-2.950	  0.000	  0.228	  0.000	  0.064	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.068	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.194	 
-2.942	  0.000	  0.229	  0.000	  0.066	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.051	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.228	 
-2.933	  0.000	  0.229	  0.000	  0.067	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.034	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.261	 
-2.924	  0.000	  0.230	  0.000	  0.068	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.015	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.295	 
-2.913	  0.000	  0.230	  0.000	  0.068	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.328	 
-2.902	  0.000	  0.231	  0.000	  0.067	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.022	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.361	 
-2.891	  0.000	  0.231	  0.000	  0.066	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.041	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.394	 
-2.878	  0.000	  0.231	  0.000	  0.064	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.058	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.428	 
-2.865	  0.000	  0.231	  0.000	  0.061	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.075	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.461	 
-2.851	  0.000	  0.232	  0.000	  0.058	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.091	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.495	 
-2.837	  0.000	  0.232	 -0.000	  0.054	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.106	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.528	 
-2.823	  0.000	  0.232	 -0.000	  0.051	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.119	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.562	 
-2.807	  0.000	  0.232	 -0.000	  0.046	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.130	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.594	 
-2.792	  0.000	  0.232	 -0.000	  0.042	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.140	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.631	 
-2.776	  0.000	  0.232	 -0.000	  0.037	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.148	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.661	 
-2.759	  0.000	  0.232	 -0.000	  0.031	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.153	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.695	 
-2.743	  0.000	  0.232	 -0.000	  0.026	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.157	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.728	 
-2.726	  0.000	  0.232	 -0.000	  0.021	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.158	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.761	 
-2.709	  0.000	  0.232	 -0.000	  0.016	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.158	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.796	 
-2.692	  0.000	  0.232	 -0.000	  0.011	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.156	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.828	 
-2.675	  0.000	  0.232	 -0.000	  0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.151	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.861	 
-2.658	  0.000	  0.232	 -0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.146	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.895	 
