X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.846	  0.000	  1.228	 -0.000	  0.019	 -0.000	  0.305	  0.000	  0.014	 -0.000	 -0.019	  0.000	  3.000	  0.000	  1.200	  0.000	  0.022	  0.000	  2.295	 
-2.835	  0.000	  1.229	 -0.000	  0.018	 -0.000	  0.308	  0.000	  0.013	 -0.000	 -0.016	  0.000	  3.000	  0.000	  1.200	  0.000	  0.021	  0.000	  2.328	 
-2.825	  0.000	  1.229	 -0.000	  0.017	 -0.000	  0.311	  0.000	  0.011	 -0.000	 -0.014	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.020	  0.000	  2.361	 
-2.815	  0.000	  1.229	 -0.000	  0.017	 -0.000	  0.313	  0.000	  0.010	 -0.000	 -0.012	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.020	  0.000	  2.394	 
-2.804	  0.000	  1.230	 -0.000	  0.017	 -0.000	  0.316	  0.000	  0.009	 -0.000	 -0.011	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.019	  0.000	  2.428	 
-2.794	  0.000	  1.230	 -0.000	  0.016	 -0.000	  0.318	  0.000	  0.009	 -0.000	 -0.010	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.018	  0.000	  2.461	 
-2.783	  0.000	  1.230	 -0.000	  0.016	 -0.000	  0.321	  0.000	  0.008	 -0.000	 -0.009	  0.000	  3.000	  0.000	  1.200	  0.000	  0.018	  0.000	  2.495	 
-2.772	  0.000	  1.230	 -0.000	  0.016	 -0.000	  0.324	  0.000	  0.007	 -0.000	 -0.009	  0.000	  3.000	  0.000	  1.200	  0.000	  0.017	  0.000	  2.528	 
-2.761	  0.000	  1.231	 -0.000	  0.015	 -0.000	  0.327	  0.000	  0.007	  0.000	 -0.010	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.016	  0.000	  2.562	 
-2.750	  0.000	  1.231	 -0.000	  0.015	 -0.000	  0.330	  0.000	  0.006	  0.000	 -0.011	  0.000	  3.000	  0.000	  1.200	  0.000	  0.015	  0.000	  2.594	 
-2.739	  0.000	  1.231	 -0.000	  0.015	 -0.000	  0.333	  0.000	  0.006	 -0.000	 -0.012	  0.000	  3.000	  0.000	  1.200	  0.000	  0.015	  0.000	  2.631	 
-2.728	  0.000	  1.231	 -0.000	  0.014	 -0.000	  0.337	  0.000	  0.005	  0.000	 -0.013	  0.000	  3.000	  0.000	  1.200	  0.000	  0.014	  0.000	  2.661	 
-2.716	  0.000	  1.231	 -0.000	  0.014	 -0.000	  0.341	  0.000	  0.005	  0.000	 -0.015	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.013	  0.000	  2.695	 
-2.705	  0.000	  1.231	 -0.000	  0.013	 -0.000	  0.345	  0.000	  0.004	  0.000	 -0.017	  0.000	  3.000	  0.000	  1.200	  0.000	  0.012	  0.000	  2.728	 
-2.693	  0.000	  1.232	 -0.000	  0.013	 -0.000	  0.350	  0.000	  0.004	  0.000	 -0.018	  0.000	  3.000	  0.000	  1.200	  0.000	  0.011	  0.000	  2.761	 
-2.681	  0.000	  1.232	 -0.000	  0.012	 -0.000	  0.355	  0.000	  0.004	 -0.000	 -0.020	  0.000	  3.000	  0.000	  1.200	  0.000	  0.009	  0.000	  2.796	 
-2.669	  0.000	  1.232	 -0.000	  0.011	 -0.000	  0.359	  0.000	  0.003	 -0.000	 -0.022	  0.000	  3.000	  0.000	  1.200	  0.000	  0.008	  0.000	  2.828	 
-2.657	  0.000	  1.232	 -0.000	  0.010	 -0.000	  0.364	  0.000	  0.003	 -0.000	 -0.024	  0.000	  3.000	  0.000	  1.200	  0.000	  0.007	  0.000	  2.861	 
-2.645	  0.000	  1.232	 -0.000	  0.010	 -0.000	  0.370	  0.000	  0.003	  0.000	 -0.025	  0.000	  3.000	  0.000	  1.200	  0.000	  0.006	  0.000	  2.895	 
-2.632	  0.000	  1.232	  0.000	  0.009	 -0.000	  0.375	  0.000	  0.002	  0.000	 -0.026	  0.000	  3.000	  0.000	  1.200	  0.000	  0.005	  0.000	  2.928	 
-2.620	  0.000	  1.232	  0.000	  0.008	 -0.000	  0.380	  0.000	  0.002	  0.000	 -0.028	  0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  2.962	 
-2.607	  0.000	  1.232	  0.000	  0.007	 -0.000	  0.385	  0.000	  0.002	  0.000	 -0.028	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.002	  0.000	  2.995	 
-2.594	  0.000	  1.232	  0.000	  0.006	 -0.000	  0.390	  0.000	  0.002	 -0.000	 -0.029	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.001	  0.000	  3.028	 
-2.581	  0.000	  1.232	  0.000	  0.005	 -0.000	  0.395	  0.000	  0.002	  0.000	 -0.029	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.000	  0.000	  3.061	 
