0.020438,0.047257,0.05863,0.087455,0.099766,0.12708,0.14544,0.1606,0.18445,0.20518,0.22557,0.2468,0.25872,0.28715,0.30724,0.32735,0.34516,0.3652,0.38531,0.40534,0.42544,0.4455,0.46561,0.48566,0.50574,0.52802,0.54592,0.56814,0.58601,0.60609,0.62615,0.6531,0.66579,0.68537,0.70573,0.72571,0.75148,0.76524,0.78555,0.80564,0.8257,0.85269,0.86583,0.88592,0.906,0.92611,0.95302,0.96619,0.98628,1.0063,1.0265,1.0519,1.065,1.0851,1.1051,1.1253,1.1522,1.1718,1.1921,1.2053,1.2253,1.2515,1.2725,1.2925,1.3056,1.3326,1.3521,1.365,1.3928,1.4129,1.433,1.4535,1.4718,1.4912,1.5119,1.5325,1.5521,1.5721,1.5922,1.6123,1.6324,1.6525,1.6719,1.6924,1.7123,1.7327,1.7583,1.7727,1.7928,1.8129,1.8329,1.8592,1.8731,1.8932,1.9132,1.9333,1.9596,1.9735,1.9935,2.0136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.064372,0.14861,0.18426,0.27489,0.31482,0.39926,0.45694,0.50457,0.57948,0.64461,0.70866,0.77536,0.81279,0.90211,0.96525,1.0284,1.0844,1.1473,1.2105,1.2734,1.3366,1.3996,1.4628,1.5258,1.5889,1.6588,1.7151,1.7849,1.841,1.9041,1.9671,2.0518,2.0917,2.1532,2.2171,2.2799,2.3609,2.4041,2.4679,2.531,2.594,2.6788,2.7201,2.7832,2.8463,2.9095,2.994,3.0354,3.0985,3.1615,3.2247,3.3046,3.3457,3.4089,3.4719,3.5351,3.6198,3.6813,3.7451,3.7866,3.8494,3.9317,3.9975,4.0605,4.1018,4.1866,4.2477,4.2883,4.3756,4.4388,4.502,4.5664,4.6238,4.6848,4.7498,4.8144,4.8759,4.939,5.0021,5.0652,5.1284,5.1916,5.2526,5.3168,5.3795,5.4434,5.5238,5.5691,5.6323,5.6953,5.7584,5.841,5.8844,5.9477,6.0105,6.0735,6.1563,6.1999,6.2629,6.3259
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
