X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.960	  0.000	  0.262	  0.000	  0.033	  0.000	  0.000	  0.000	  0.000	  0.000	  0.018	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.556	 
-2.955	  0.000	  0.264	  0.000	  0.034	  0.000	  0.000	  0.000	  0.000	  0.000	  0.012	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.589	 
-2.949	  0.000	  0.266	  0.000	  0.034	  0.000	  0.000	  0.000	  0.000	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.623	 
-2.943	  0.000	  0.268	  0.000	  0.034	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.655	 
-2.937	  0.000	  0.269	  0.000	  0.033	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.689	 
-2.930	  0.000	  0.271	  0.000	  0.033	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.017	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.723	 
-2.923	  0.000	  0.272	  0.000	  0.032	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.023	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.756	 
-2.916	  0.000	  0.273	  0.000	  0.031	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.030	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.789	 
-2.908	  0.000	  0.274	  0.000	  0.030	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.036	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.823	 
-2.901	  0.000	  0.275	  0.000	  0.028	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.041	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.856	 
-2.892	  0.000	  0.277	  0.000	  0.027	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.047	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.890	 
-2.884	  0.000	  0.277	  0.000	  0.025	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.051	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.923	 
-2.875	  0.000	  0.278	  0.000	  0.023	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.055	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.956	 
-2.866	  0.000	  0.279	  0.000	  0.021	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.058	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.989	 
-2.857	  0.000	  0.280	  0.000	  0.019	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.061	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.023	 
