X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-3.000	  0.000	  1.196	 -0.000	 -0.000	 -0.000	  0.000	  0.000	 -0.126	 -0.000	 -0.000	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.051	  0.000	  0.518	 
-3.000	  0.000	  1.191	 -0.000	  0.002	 -0.000	 -0.000	  0.000	 -0.150	 -0.000	  0.064	 -0.000	  3.000	  0.000	  1.200	 -0.000	  0.047	  0.000	  1.073	 
-3.000	  0.000	  1.187	 -0.000	  0.003	 -0.000	  0.001	  0.000	 -0.112	 -0.000	  0.033	  0.000	  3.000	  0.000	  1.200	  0.000	  0.046	  0.000	  1.136	 
-3.000	  0.000	  1.185	 -0.000	  0.004	 -0.000	  0.002	  0.000	 -0.063	  0.000	  0.029	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.047	  0.000	  1.235	 
-3.000	  0.000	  1.184	 -0.000	  0.005	 -0.000	  0.005	  0.000	 -0.019	 -0.000	  0.035	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.048	  0.000	  1.628	 
-2.999	  0.000	  1.185	 -0.000	  0.007	 -0.000	  0.007	  0.000	  0.018	  0.000	  0.041	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.049	  0.000	  1.672	 
-2.999	  0.000	  1.187	 -0.000	  0.008	 -0.000	  0.011	  0.000	  0.047	 -0.000	  0.044	  0.000	  3.000	  0.000	  1.200	  0.000	  0.049	  0.000	  1.705	 
-2.999	  0.000	  1.189	 -0.000	  0.010	 -0.000	  0.015	  0.000	  0.070	 -0.000	  0.044	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.050	  0.000	  1.739	 
-2.998	  0.000	  1.192	 -0.000	  0.011	 -0.000	  0.019	  0.000	  0.088	 -0.000	  0.042	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.050	  0.000	  1.773	 
-2.997	  0.000	  1.195	 -0.000	  0.012	 -0.000	  0.025	  0.000	  0.100	 -0.000	  0.038	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.049	  0.000	  1.805	 
-2.996	  0.000	  1.199	 -0.000	  0.013	 -0.000	  0.031	  0.000	  0.109	 -0.000	  0.034	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.049	  0.000	  1.838	 
-2.995	  0.000	  1.203	 -0.000	  0.014	 -0.000	  0.037	  0.000	  0.115	 -0.000	  0.029	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.048	  0.000	  1.878	 
-2.993	  0.000	  1.207	 -0.000	  0.015	 -0.000	  0.044	  0.000	  0.118	 -0.000	  0.024	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.047	  0.000	  1.911	 
-2.992	  0.000	  1.210	 -0.000	  0.016	 -0.000	  0.052	  0.000	  0.119	  0.000	  0.019	  0.000	  3.000	  0.000	  1.200	  0.000	  0.046	  0.000	  1.947	 
